risk_segment,users,HitRate_10,CategoryHit_10,mean_churn_probability,model
low_risk,2667,0.0,0.2230971128608924,0.46445610639368395,baseline_global
medium_risk,2666,0.0,0.24306076519129782,0.8467294256501788,baseline_global
high_risk,2667,0.0,0.22384701912260968,0.9884098236236417,baseline_global
low_risk,2667,0.0,0.6992875890513686,0.46445610639368395,baseline_favorite_category
medium_risk,2666,0.0,0.7790697674418605,0.8467294256501788,baseline_favorite_category
high_risk,2667,0.0,0.6081739782527185,0.9884098236236417,baseline_favorite_category
low_risk,2667,0.0,0.9610048743907011,0.46445610639368395,v8_transition_retention
medium_risk,2666,0.0,0.9703675918979745,0.8467294256501788,v8_transition_retention
high_risk,2667,0.0,0.931758530183727,0.9884098236236417,v8_transition_retention
