metric,min_value,max_value,spread,role,why
HitRate@10,0.0,0.0,0.0,guardrail,Служебная метрика.
CategoryHit@10,0.23,0.954375,0.724375,select,"Главная метрика: показывает, попали ли мы в следующий интерес пользователя."
RetentionHit@10,0.0,0.0,0.0,guardrail,Служебная метрика.
RetentionCategoryHit@10,0.2303287142536211,0.9544595634321617,0.7241308491785405,select,"Главная retention-метрика: то же попадание в категорию, но с большим весом для risk-пользователей."
AvgQuality@10,0.8972473874999999,0.89745998125,0.00021259375000015623,guardrail,Контроль качества: новая модель не должна тащить проблемные товары.
AvgABC@10,0.99649,1.0,0.003510000000000013,guardrail,Контроль коммерческой силы: рекомендации не должны проседать по выручке.
