model,HitRate@10,CategoryHit@10,RetentionHit@10,RetentionCategoryHit@10,AvgQuality@10,AvgABC@10,n_users,CategoryHit@10_norm,RetentionCategoryHit@10_norm,final_model_score
v8_transition_retention,0.0,0.954375,0.0,0.9544595634321617,0.8972844524999998,0.99649,8000,1.0,1.0,1.0
baseline_favorite_category,0.0,0.6955,0.0,0.6982502511103311,0.8972473874999999,1.0,8000,0.6426229508196721,0.6461836799074694,0.6442252789091809
baseline_global,0.0,0.23,0.0,0.2303287142536211,0.89745998125,1.0,8000,0.0,0.0,0.0
